Consulate: ADD
+---------------+-------------+-------------+-----------+--------------+----------+--------------+
| Case Number   | Consulate   | City        | Country   | PrevStatus   | Status   | statusDate   |
| 2023AF38637   | CRO         | Cairo  | Egypt     | InTransit    | Ready       | 17-Jul-2023  |
| 2023AF38801   | CRO         | Cairo  | Egypt     | InTransit    | Ready       | 17-Jul-2023  |
| 2023AF39261   | CRO         | Cairo  | Egypt     | InTransit    | Ready       | 17-Jul-2023  |
| 2023AF39511   | CRO         | Cairo  | Egypt     | InTransit    | Ready       | 17-Jul-2023  |
| 2023AF39526   | CRO         | Cairo  | Egypt     | InTransit    | Ready       | 17-Jul-2023  |
| 2023AF39537   | CRO         | Cairo  | Egypt     | InTransit    | Ready       | 17-Jul-2023  |
| 2023AF39603   | CRO         | Cairo  | Egypt     | InTransit    | Ready       | 17-Jul-2023  |
| 2023AF39671   | CRO         | Cairo  | Egypt     | InTransit    | Ready       | 17-Jul-2023  |
| 2023AF39723   | CRO         | Cairo  | Egypt     | InTransit    | Ready       | 17-Jul-2023  |
| 2023AF39792   | CRO         | Cairo  | Egypt     | InTransit    | Ready       | 17-Jul-2023  |
| 2023AF39914   | CRO         | Cairo  | Egypt     | InTransit    | Ready       | 17-Jul-2023  |
| 2023AF39932   | CRO         | Cairo  | Egypt     | InTransit    | Ready       | 17-Jul-2023  |
| 2023AF39949   | CRO         | Cairo  | Egypt     | InTransit    | Ready       | 17-Jul-2023  |
| 2023AF39953   | CRO         | Cairo  | Egypt     | InTransit    | Ready       | 17-Jul-2023  |
| 2023AF40170   | CRO         | Cairo  | Egypt     | InTransit    | Ready       | 17-Jul-2023  |
| 2023AF40177   | CRO         | Cairo  | Egypt     | InTransit    | Ready       | 17-Jul-2023  |
| 2023AF40274   | CRO         | Cairo  | Egypt     | InTransit    | Ready       | 17-Jul-2023  |
| 2023AF40407   | CRO         | Cairo  | Egypt     | InTransit    | Ready       | 17-Jul-2023  |
| 2023AF40540   | CRO         | Cairo  | Egypt     | InTransit    | Ready       | 17-Jul-2023  |
| 2023AF40558   | CRO         | Cairo  | Egypt     | InTransit    | Ready       | 17-Jul-2023  |
| 2023AF40859   | CRO         | Cairo  | Egypt     | InTransit    | Ready       | 17-Jul-2023  |
| 2023AF41065   | CRO         | Cairo  | Egypt     | InTransit    | Ready       | 17-Jul-2023  |
| 2023AF41206   | CRO         | Cairo  | Egypt     | InTransit    | Ready       | 17-Jul-2023  |
| 2023AF41232   | CRO         | Cairo  | Egypt     | InTransit    | Ready       | 17-Jul-2023  |
| 2023AF41276   | CRO         | Cairo  | Egypt     | InTransit    | Ready       | 17-Jul-2023  |
| 2023AF41282   | CRO         | Cairo  | Egypt     | InTransit    | Ready       | 17-Jul-2023  |
| 2023AF41384   | CRO         | Cairo  | Egypt     | InTransit    | Ready       | 17-Jul-2023  |
